"T","U:0","U:1","U:2","alphat","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,1,0,0,0,1.2043,1.2043,1,0,0,0.25,0.05
1,1.0001,3.8475e-09,0,0,1.2044,1.2044,1,0.002,0.002,0.25,0.05
1,1.0002,7.6951e-09,0,0,1.2044,1.2044,1,0.004,0.004,0.25,0.05
1,1.0004,1.1543e-08,0,0,1.2044,1.2044,1,0.006,0.006,0.25,0.05
1,1.0005,1.539e-08,0,0,1.2045,1.2045,1,0.008,0.008,0.25,0.05
1,1.0006,1.9238e-08,0,0,1.2045,1.2045,1,0.01,0.01,0.25,0.05
1,1.0009,2.2637e-08,0,0,1.2045,1.2045,1,0.012,0.012,0.25,0.05
1,1.0012,2.6036e-08,0,0,1.2045,1.2045,1,0.014,0.014,0.25,0.05
1,1.0015,2.9436e-08,0,0,1.2045,1.2045,1,0.016,0.016,0.25,0.05
0.99999,1.0018,3.2835e-08,0,0,1.2045,1.2045,1,0.018,0.018,0.25,0.05
0.99999,1.0021,3.6234e-08,0,0,1.2045,1.2045,1,0.02,0.02,0.25,0.05
0.99999,1.0026,3.9989e-08,0,0,1.2043,1.2043,1,0.022,0.022,0.25,0.05
0.99999,1.0031,4.3743e-08,0,0,1.2041,1.2041,1,0.024,0.024,0.25,0.05
0.99999,1.0036,4.7497e-08,0,0,1.2039,1.2039,1,0.026,0.026,0.25,0.05
0.99999,1.0041,5.1252e-08,0,0,1.2037,1.2037,1,0.028,0.028,0.25,0.05
0.99999,1.0046,5.5006e-08,0,0,1.2035,1.2035,1,0.03,0.03,0.25,0.05
0.99998,1.0052,5.9005e-08,0,0,1.2031,1.2031,1,0.032,0.032,0.25,0.05
0.99998,1.0059,6.3004e-08,0,0,1.2027,1.2027,1,0.034,0.034,0.25,0.05
0.99998,1.0066,6.7003e-08,0,0,1.2023,1.2023,1,0.036,0.036,0.25,0.05
0.99998,1.0072,7.1002e-08,0,0,1.2019,1.2019,1,0.038,0.038,0.25,0.05
0.99998,1.0079,7.5001e-08,0,0,1.2015,1.2015,1,0.04,0.04,0.25,0.05
0.99997,1.0088,7.8999e-08,0,0,1.201,1.201,1,0.042,0.042,0.25,0.05
0.99997,1.0096,8.2998e-08,0,0,1.2004,1.2004,1,0.044,0.044,0.25,0.05
0.99997,1.0104,8.6997e-08,0,0,1.1999,1.1999,1,0.046,0.046,0.25,0.05
0.99996,1.0113,9.0996e-08,0,0,1.1993,1.1993,1,0.048,0.048,0.25,0.05
0.99996,1.0121,9.4995e-08,0,0,1.1987,1.1987,1,0.05,0.05,0.25,0.05
0.99996,1.0131,9.9489e-08,0,0,1.198,1.198,1,0.052,0.052,0.25,0.05
0.99995,1.0142,1.0398e-07,0,0,1.1973,1.1973,1,0.054,0.054,0.25,0.05
0.99995,1.0152,1.0848e-07,0,0,1.1966,1.1966,1,0.056,0.056,0.25,0.05
0.99994,1.0162,1.1297e-07,0,0,1.1958,1.1958,1,0.058,0.058,0.25,0.05
0.99994,1.0172,1.1746e-07,0,0,1.1951,1.1951,1,0.06,0.06,0.25,0.05
0.99993,1.0184,1.2246e-07,0,0,1.1942,1.1942,1,0.062,0.062,0.25,0.05
0.99993,1.0195,1.2745e-07,0,0,1.1933,1.1933,1,0.064,0.064,0.25,0.05
0.99992,1.0207,1.3245e-07,0,0,1.1924,1.1924,1,0.066,0.066,0.25,0.05
0.99991,1.0219,1.3744e-07,0,0,1.1915,1.1915,1,0.068,0.068,0.25,0.05
0.99991,1.023,1.4243e-07,0,0,1.1906,1.1906,1,0.07,0.07,0.25,0.05
0.9999,1.0243,1.4695e-07,0,0,1.1896,1.1896,1,0.072,0.072,0.25,0.05
0.99989,1.0256,1.5147e-07,0,0,1.1885,1.1885,1,0.074,0.074,0.25,0.05
0.99988,1.027,1.5598e-07,0,0,1.1875,1.1875,1,0.076,0.076,0.25,0.05
0.99987,1.0283,1.605e-07,0,0,1.1864,1.1864,1,0.078,0.078,0.25,0.05
0.99986,1.0296,1.6502e-07,0,0,1.1854,1.1854,1,0.08,0.08,0.25,0.05
0.99985,1.031,1.7001e-07,0,0,1.1842,1.1842,1,0.082,0.082,0.25,0.05
0.99984,1.0325,1.7501e-07,0,0,1.183,1.183,1,0.084,0.084,0.25,0.05
0.99983,1.0339,1.8e-07,0,0,1.1818,1.1818,1,0.086,0.086,0.25,0.05
0.99982,1.0354,1.85e-07,0,0,1.1806,1.1806,1,0.088,0.088,0.25,0.05
0.99981,1.0368,1.8999e-07,0,0,1.1794,1.1794,1,0.09,0.09,0.25,0.05
0.99979,1.0384,1.9597e-07,0,0,1.1781,1.1781,1,0.092,0.092,0.25,0.05
0.99978,1.0399,2.0196e-07,0,0,1.1768,1.1768,1,0.094,0.094,0.25,0.05
0.99976,1.0415,2.0794e-07,0,0,1.1755,1.1755,1,0.096,0.096,0.25,0.05
0.99975,1.0431,2.1392e-07,0,0,1.1741,1.1741,1,0.098,0.098,0.25,0.05
0.99973,1.0446,2.1991e-07,0,0,1.1728,1.1728,1,0.1,0.1,0.25,0.05
0.99971,1.0463,2.264e-07,0,0,1.1714,1.1714,1,0.102,0.102,0.25,0.05
0.9997,1.048,2.329e-07,0,0,1.1699,1.1699,1,0.104,0.104,0.25,0.05
0.99968,1.0496,2.394e-07,0,0,1.1685,1.1685,1,0.106,0.106,0.25,0.05
0.99966,1.0513,2.4589e-07,0,0,1.167,1.167,1,0.108,0.108,0.25,0.05
